,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,Structural Material##OTHER##
R1000*1000,1000,1000,"Concrete, Cast-in-Place gray"
R1200*600,600,1200,"Concrete, Cast-in-Place gray"
R1000*400,400,1000,"Concrete, Cast-in-Place gray"
R1200*750,750,1200,"Concrete, Cast-in-Place gray"
R1200*500,500,1200,"Concrete, Cast-in-Place gray"
R1000*500,500,1000,"Concrete, Cast-in-Place gray"
R1400*600,600,1400,"Concrete, Cast-in-Place gray"
R1500*750,750,1500,"Concrete, Cast-in-Place gray"
R750*450,450,750,"Concrete, Cast-in-Place gray"
R800*450,450,800,"Concrete, Cast-in-Place gray"
R1000*450,450,1000,"Concrete, Cast-in-Place gray"
R800*600,600,800,"Concrete, Cast-in-Place gray"
R1000*800,800,1000,"Concrete, Cast-in-Place gray"
R1400*800,800,1400,"Concrete, Cast-in-Place gray"
R1000*750,750,1000,"Concrete, Cast-in-Place gray"
R1000*700,700,1000,"Concrete, Cast-in-Place gray"
R500*450,450,500,"Concrete, Cast-in-Place gray"
R1400*760,760,1400,"Concrete, Cast-in-Place gray"
R1400*450,450,1400,"Concrete, Cast-in-Place gray"
R600*710,710,600,"Concrete, Cast-in-Place gray"
R1200*1000,1000,1200,"Concrete, Cast-in-Place gray"
R1200*800,800,1200,"Concrete, Cast-in-Place gray"
R1400*1000,1000,1400,"Concrete, Cast-in-Place gray"
R750*740,740,750,"Concrete, Cast-in-Place gray"
R2000*800,800,2000,"Concrete, Cast-in-Place gray"
R1000*600,600,1000,"Concrete, Cast-in-Place gray"
R800*800,800,800,"Concrete, Cast-in-Place gray"
R600*450,450,600,"Concrete, Cast-in-Place gray"
R1200*450,450,1200,"Concrete, Cast-in-Place gray"
R750*670,670,750,"Concrete, Cast-in-Place gray"
R750*750,750,750,"Concrete, Cast-in-Place gray"
R1500*600,600,1500,"Concrete, Cast-in-Place gray"
