,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,Structural Material##OTHER##
HSC_1500x600_RC-50Mpa,600,1500,"Concrete, Cast-in-Place gray"
HSC_600x810_RC-50Mpa,810,600,"Concrete, Cast-in-Place gray"
HSC_500x450_RC-50Mpa,450,500,"Concrete, Cast-in-Place gray"
HSC_1000x700_RC-50Mpa,700,1000,"Concrete, Cast-in-Place gray"
HSC_1200x450_RC-50Mpa,450,1200,"Concrete, Cast-in-Place gray"
HSC_750x500_RC-50Mpa,500,750,"Concrete, Cast-in-Place gray"
HSC_750x670_RC-50Mpa,670,750,"Concrete, Cast-in-Place gray"
HSC_1200x600_RC-50Mpa,600,1200,"Concrete, Cast-in-Place gray"
HSC_600x500_RC-50Mpa,500,600,"Concrete, Cast-in-Place gray"
HSC_850x450_RC-50Mpa,450,850,"Concrete, Cast-in-Place gray"
HSC_1400x450_RC-50Mpa,450,1400,"Concrete, Cast-in-Place gray"
HSC_1200x1000_RC-50Mpa,1000,1200,"Concrete, Cast-in-Place gray"
HSC_1500x750_RC-50Mpa,750,1500,"Concrete, Cast-in-Place gray"
HSC_1200x750_RC-50Mpa,750,1200,"Concrete, Cast-in-Place gray"
HSC_800x450_RC-50Mpa,450,800,"Concrete, Cast-in-Place gray"
HSC_750x450_RC-50Mpa,450,750,"Concrete, Cast-in-Place gray"
HSC_1000x400_RC-50Mpa,400,1000,"Concrete, Cast-in-Place gray"
HSC_1400x1000_RC-50Mpa,1000,1400,"Concrete, Cast-in-Place gray"
HSC_800x700_RC-50Mpa,700,800,"Concrete, Cast-in-Place gray"
HSC_1000x750_RC-50Mpa,750,1000,"Concrete, Cast-in-Place gray"
HSC_1000x600_RC-50Mpa,600,1000,"Concrete, Cast-in-Place gray"
HSC_600x790_RC-50Mpa,790,600,"Concrete, Cast-in-Place gray"
HSC_750x690_RC-50Mpa,690,750,"Concrete, Cast-in-Place gray"
HSC_600x450_RC-50Mpa,450,600,"Concrete, Cast-in-Place gray"
HSC_1200x800_RC-50Mpa,800,1200,"Concrete, Cast-in-Place gray"
HSC_1500x450_RC-50Mpa,450,1500,"Concrete, Cast-in-Place gray"
HSC_1000x800_RC-50Mpa,800,1000,"Concrete, Cast-in-Place gray"
HSC_800x600_RC-50Mpa,600,800,"Concrete, Cast-in-Place gray"
HSC_450x450_RC-50Mpa,450,450,"Concrete, Cast-in-Place gray"
HSC_800x400_RC-50Mpa,400,800,"Concrete, Cast-in-Place gray"
HSC_600x710_RC-50Mpa,710,600,"Concrete, Cast-in-Place gray"
HSC_1000x450_RC-50Mpa,450,1000,"Concrete, Cast-in-Place gray"
HSC_1400x800_RC-50Mpa,800,1400,"Concrete, Cast-in-Place gray"
HSC_750x600_RC-50Mpa,600,750,"Concrete, Cast-in-Place gray"
HSC_1400x760_RC-50Mpa,760,1400,"Concrete, Cast-in-Place gray"
HSC_800x750_RC-50Mpa,750,800,"Concrete, Cast-in-Place gray"
HSC_1400x600_RC-50Mpa,600,1400,"Concrete, Cast-in-Place gray"
HSC_2000x800_RC-50Mpa,800,2000,"Concrete, Cast-in-Place gray"
HSC_750x750_RC-50Mpa,750,750,"Concrete, Cast-in-Place gray"
HSC_750x810_RC-50Mpa,810,750,"Concrete, Cast-in-Place gray"
HSC_800x800_RC-50Mpa,800,800,"Concrete, Cast-in-Place gray"
HSC_750x740_RC-50Mpa,740,750,"Concrete, Cast-in-Place gray"
HSC_1950x450_RC-50Mpa,450,1950,"Concrete, Cast-in-Place gray"
HSC_1200x500_RC-50Mpa,500,1200,"Concrete, Cast-in-Place gray"
HSC_750x730_RC-50Mpa,730,750,"Concrete, Cast-in-Place gray"
HSC_1000x1000_RC-50Mpa,1000,1000,"Concrete, Cast-in-Place gray"
HSC_1200x700_RC-50Mpa,700,1200,"Concrete, Cast-in-Place gray"
HSC_800x500_RC-50Mpa,500,800,"Concrete, Cast-in-Place gray"
HSC_1000x500_RC-50Mpa,500,1000,"Concrete, Cast-in-Place gray"
